status_incident_id,name,first_public_at_utc,last_update_at_utc,source_url,codex_related,has_rate_limit_language,collection_status
STATUS_01KT5B2V94YX1T1M88BVQHB58J,codex-gpt-image-2-does-not-exist-errors,2026-06-02T23:35:44.163Z,2026-06-03T00:13:15.489Z,https://status.openai.com/incidents/01KT5B2V94YX1T1M88BVQHB58J,1,0,ok
STATUS_01KT5XJ5ATD6RMYP908WS69FVD,"Elevated error rates on Codex, ChatGPT and Responses API",2026-06-03T04:58:40.345Z,2026-06-03T11:09:42.885Z,https://status.openai.com/incidents/01KT5XJ5ATD6RMYP908WS69FVD,1,0,ok
STATUS_01KT890WC7YQYMX39GY5VG9QAB,Increased latency for Codex compaction for a subset of users,2026-06-04T02:57:25.894Z,2026-06-04T04:37:16.567Z,https://status.openai.com/incidents/01KT890WC7YQYMX39GY5VG9QAB,1,0,ok
STATUS_01KTA0V0N4KT7VV50DTJZ85XTA,Image API requests failing with 401s,2026-06-04T19:12:53.923Z,2026-06-04T19:52:18.323Z,https://status.openai.com/incidents/01KTA0V0N4KT7VV50DTJZ85XTA,0,0,ok
STATUS_01KTBZDS20E3PZ53DH2SCKXN49,Some users may experience issues accessing OpenAI accounts,2026-06-05T13:26:40.447Z,2026-06-06T06:16:40.048Z,https://status.openai.com/incidents/01KTBZDS20E3PZ53DH2SCKXN49,0,0,ok
STATUS_01KTC1ZHEQGEYJR6W372KNW3WF,Elevated error rates for Free users in conversations,2026-06-05T14:11:19.638Z,2026-06-05T15:37:16.677Z,https://status.openai.com/incidents/01KTC1ZHEQGEYJR6W372KNW3WF,0,0,ok
STATUS_01KTC44AD7928NC4HHQWW9XE5F,Users unable to sign in using Microsoft personal accounts,2026-06-05T14:48:53.414Z,2026-06-05T15:58:28.201Z,https://status.openai.com/incidents/01KTC44AD7928NC4HHQWW9XE5F,0,0,ok
STATUS_01KTCF0M9HQ04JB48EXMMJVX5J,Voice mode availability impacted,2026-06-05T17:59:06.8Z,2026-06-05T19:04:32.734Z,https://status.openai.com/incidents/01KTCF0M9HQ04JB48EXMMJVX5J,0,0,ok
STATUS_01KTHA1XMAS77H4GMQBKSNPK71,Disruption in service availabilty for Free and Go users,2026-06-07T15:08:38.409Z,2026-06-07T18:06:11.067Z,https://status.openai.com/incidents/01KTHA1XMAS77H4GMQBKSNPK71,0,0,ok
STATUS_01KTHRCXQCANBBY5JTGEQ1XTPK,Disruption in service availabilty for Go users,2026-06-07T19:19:19.019Z,2026-06-08T07:40:19.885Z,https://status.openai.com/incidents/01KTHRCXQCANBBY5JTGEQ1XTPK,0,0,ok
STATUS_01KTVCFSN91M935M3MD3Z9W7C9,Disruption in service availabilty for Free and Go users,2026-06-11T13:03:34.568Z,2026-06-11T14:04:45.765Z,https://status.openai.com/incidents/01KTVCFSN91M935M3MD3Z9W7C9,0,0,ok
STATUS_01KTW7QY5W9DDYT0ETXX6MPVSY,Elevated error rates for GPT 5.5 in Codex,2026-06-11T20:59:52.891Z,2026-06-11T22:28:09.546Z,https://status.openai.com/incidents/01KTW7QY5W9DDYT0ETXX6MPVSY,1,0,ok
STATUS_01KTWCER83NNKE698QXNXJG11M,Elevated 431 Errors,2026-06-11T22:22:14.786Z,2026-06-12T00:47:57.532Z,https://status.openai.com/incidents/01KTWCER83NNKE698QXNXJG11M,0,0,ok
STATUS_01KV67B3HB2B6JKHAMHCCYS0KZ,OAuth Account Creation / Login Error,2026-06-15T18:05:16.715Z,2026-06-15T20:12:26.248Z,https://status.openai.com/incidents/01KV67B3HB2B6JKHAMHCCYS0KZ,0,0,ok
STATUS_01KV6NGBYE50GK3TRXHD2EMTXA,FedRAMP workspaces and API orgs have degraded performance,2026-06-15T21:23:00Z,2026-06-26T23:07:55.104Z,https://status.openai.com/incidents/01KV6NGBYE50GK3TRXHD2EMTXA,0,0,ok
STATUS_01KV6W1JX2T4T1455777Q1R2W5,Users may experience issue with Codex Cloud tasks,2026-06-16T00:07:04.865Z,2026-06-16T00:55:57.431Z,https://status.openai.com/incidents/01KV6W1JX2T4T1455777Q1R2W5,1,0,ok
STATUS_01KV7ZT644J4V94GSXMFPY2ANR,Codex &quot;Selected Model is at Capacity&quot; Error,2026-06-16T10:32:11.139Z,2026-06-16T13:48:12.72Z,https://status.openai.com/incidents/01KV7ZT644J4V94GSXMFPY2ANR,1,0,ok
STATUS_01KVB9JAB1PP9GS4A6AZ52TT5Y,Errors with conversations on Android and iOS devices,2026-06-17T17:20:22.368Z,2026-06-17T18:23:18.858Z,https://status.openai.com/incidents/01KVB9JAB1PP9GS4A6AZ52TT5Y,0,0,ok
STATUS_01KVCC8P5XTCA7H7W7E6A2MYJS,ChatGPT failing to load or save,2026-06-18T03:26:46.973Z,2026-06-18T03:55:02.242Z,https://status.openai.com/incidents/01KVCC8P5XTCA7H7W7E6A2MYJS,0,0,ok
STATUS_01KVCZ38K0RJZTSX7Y70RQMV2D,SSO login errors for some ChatGPT Enterprise workspaces,2026-06-18T08:55:52.159Z,2026-06-18T11:55:12.099Z,https://status.openai.com/incidents/01KVCZ38K0RJZTSX7Y70RQMV2D,0,0,ok
STATUS_01KVEZD06ZFM2CMDZQMQYDV9RK,chatgpt.com access issues,2026-06-19T03:39:40.127Z,2026-06-19T05:23:27.053Z,https://status.openai.com/incidents/01KVEZD06ZFM2CMDZQMQYDV9RK,0,0,ok
STATUS_01KVTDW6E1PXBTY2A9XEBT4MY4,Users may experience elevated errors in ChatGPT uploading and downloading files ,2026-06-23T14:24:16.832Z,2026-06-23T16:38:19.942Z,https://status.openai.com/incidents/01KVTDW6E1PXBTY2A9XEBT4MY4,0,0,ok
STATUS_01KVW3CQQ51SWCV4A1SWA6ATVM,gpt-4o-mini high error rate,2026-06-24T05:59:33.348Z,2026-06-24T06:07:32.922Z,https://status.openai.com/incidents/01KVW3CQQ51SWCV4A1SWA6ATVM,0,0,ok
